model,source_row,Time,Amount,anomaly_score,predicted_class,raw_mean_reconstruction_error,threshold,distance_from_threshold,largest_error_features,features_at_residual_cap
"Before: capped AE, all 29 inputs",229712,146022.0,1.18,2.234602928161621,0,7.577098846435547,2.5721561908721924,-0.3375532627105713,V14: 66.1936; V12: 43.5075; V17: 18.4215,13
"Before: capped AE, all 29 inputs",229730,146026.0,2.22,0.7157586812973022,0,0.7737628221511841,2.5721561908721924,-1.8563975095748901,V15: 5.6426; V4: 4.0395; V9: 2.3000,2
"Before: capped AE, all 29 inputs",230076,146179.0,0.77,2.3041138648986816,0,7.9360032081604,2.5721561908721924,-0.26804232597351074,V14: 55.3320; V12: 46.8663; V17: 25.3930,12
"Before: capped AE, all 29 inputs",230476,146344.0,94.82,2.5149407386779785,0,8.123306274414062,2.5721561908721924,-0.05721545219421387,V14: 59.4659; V12: 34.9628; V10: 22.8608,12
"Before: capped AE, all 29 inputs",231978,146998.0,8.0,1.2871614694595337,0,2.4151957035064697,2.5721561908721924,-1.2849947214126587,V14: 22.5715; V21: 14.7562; V17: 7.0620,4
"Before: capped AE, all 29 inputs",233258,147501.0,996.27,2.382455825805664,0,5.531268119812012,2.5721561908721924,-0.18970036506652832,V18: 18.0583; V17: 17.9588; V23: 16.0808,12
"Before: capped AE, all 29 inputs",234574,148028.0,0.0,2.3352324962615967,0,11.270548820495605,2.5721561908721924,-0.2369236946105957,V14: 104.7878; V12: 57.5468; V17: 39.6701,14
"Before: capped AE, all 29 inputs",234632,148053.0,1.59,1.6783742904663086,0,4.107137680053711,2.5721561908721924,-0.8937819004058838,V14: 40.2479; V12: 16.0248; V17: 13.1976,7
"Before: capped AE, all 29 inputs",234705,148074.0,0.0,1.7498410940170288,0,4.125436782836914,2.5721561908721924,-0.8223150968551636,V14: 36.3972; V12: 10.8562; V9: 10.7156,9
"Before: capped AE, all 29 inputs",235616,148468.0,0.76,2.8482532501220703,1,10.73603343963623,2.5721561908721924,0.27609705924987793,V17: 53.7724; V12: 33.3732; V18: 32.8671,15
"Before: capped AE, all 29 inputs",235634,148476.0,0.76,2.5665173530578613,0,11.359633445739746,2.5721561908721924,-0.005638837814331055,V14: 72.4693; V16: 39.1912; V12: 38.3191,14
"Before: capped AE, all 29 inputs",235644,148479.0,122.68,2.805316686630249,1,10.460945129394531,2.5721561908721924,0.23316049575805664,V14: 71.2815; V10: 34.8032; V12: 33.6645,15
"Before: capped AE, all 29 inputs",237107,149096.0,0.0,1.578951358795166,0,4.659444332122803,2.5721561908721924,-0.9932048320770264,V14: 52.6196; V12: 18.2106; V17: 14.6285,6
"Before: capped AE, all 29 inputs",237426,149236.0,1.0,1.138398289680481,0,1.3960638046264648,2.5721561908721924,-1.4337579011917114,V5: 8.1175; V14: 5.7756; V6: 5.5792,3
"Before: capped AE, all 29 inputs",238222,149582.0,1.1,2.615370035171509,1,21.21088409423828,2.5721561908721924,0.043213844299316406,V14: 181.2833; V17: 99.7743; V27: 85.1783,16
"Before: capped AE, all 29 inputs",238366,149640.0,2.0,2.008519411087036,0,4.374223232269287,2.5721561908721924,-0.5636367797851562,V14: 32.5824; V16: 14.4359; V19: 10.4198,10
"Before: capped AE, all 29 inputs",238466,149676.0,17.39,0.9422937631607056,0,0.9632591009140015,2.5721561908721924,-1.6298624277114868,V4: 4.6080; V19: 3.7327; V10: 3.3613,1
"Before: capped AE, all 29 inputs",239499,150138.0,50.0,1.8938755989074707,0,4.579742431640625,2.5721561908721924,-0.6782805919647217,V14: 38.2947; V16: 24.3630; V10: 19.1030,7
"Before: capped AE, all 29 inputs",239501,150139.0,237.26,1.8807085752487183,0,4.098100662231445,2.5721561908721924,-0.6914476156234741,V18: 22.4127; V17: 19.0076; V3: 14.4109,9
"Before: capped AE, all 29 inputs",240222,150494.0,1.0,0.8821550011634827,0,0.9231563806533813,2.5721561908721924,-1.6900012493133545,V4: 5.1890; V15: 3.7911; V13: 2.9805,1
"Before: capped AE, all 29 inputs",241254,150949.0,9.29,1.4333562850952148,0,2.354275941848755,2.5721561908721924,-1.1387999057769775,V14: 21.2171; V16: 10.7157; V7: 5.4232,4
"Before: capped AE, all 29 inputs",241445,151029.0,10.7,2.605651378631592,1,10.72871208190918,2.5721561908721924,0.033495187759399414,V14: 89.6480; V17: 50.6061; V10: 28.0855,15
"Before: capped AE, all 29 inputs",243393,151916.0,0.01,3.10968279838562,1,17.276912689208984,2.5721561908721924,0.5375266075134277,V14: 145.4583; V17: 49.6489; V16: 49.5705,19
"Before: capped AE, all 29 inputs",243547,151972.0,57.73,2.8307385444641113,1,16.508195877075195,2.5721561908721924,0.25858235359191895,V14: 135.2535; V27: 63.3227; V17: 54.1370,17
"Before: capped AE, all 29 inputs",243699,152036.0,1.0,2.5171661376953125,0,23.416723251342773,2.5721561908721924,-0.05499005317687988,V14: 213.8128; V17: 108.6576; V27: 99.5299,14
"Before: capped AE, all 29 inputs",243749,152058.0,1.0,2.7350947856903076,1,23.023487091064453,2.5721561908721924,0.16293859481811523,V14: 199.5762; V17: 106.8603; V27: 86.5868,16
"Before: capped AE, all 29 inputs",243848,152098.0,1.0,2.7354161739349365,1,22.555702209472656,2.5721561908721924,0.16325998306274414,V14: 189.6080; V17: 106.9987; V27: 86.6119,15
"Before: capped AE, all 29 inputs",244004,152165.0,1.0,2.7178795337677,1,22.110092163085938,2.5721561908721924,0.1457233428955078,V14: 179.7230; V17: 107.2815; V27: 86.4463,15
"Before: capped AE, all 29 inputs",244333,152307.0,1.0,2.6982836723327637,1,21.702682495117188,2.5721561908721924,0.1261274814605713,V14: 170.0238; V17: 107.6169; V27: 86.2277,13
"Before: capped AE, all 29 inputs",245347,152710.0,2.47,0.7582594752311707,0,0.8864032030105591,2.5721561908721924,-1.813896656036377,V15: 7.7162; V19: 3.0871; V9: 2.7025,1
"Before: capped AE, all 29 inputs",245556,152802.0,357.95,0.7382246255874634,0,0.8414833545684814,2.5721561908721924,-1.833931565284729,Amount: 6.6199; V3: 4.3746; V18: 3.7032,2
"Before: capped AE, all 29 inputs",247673,153653.0,247.86,2.597257614135742,1,7.948566436767578,2.5721561908721924,0.025101423263549805,V17: 60.7573; V27: 26.1648; V18: 21.2133,14
"Before: capped AE, all 29 inputs",247995,153761.0,51.37,1.8910926580429077,0,4.41224479675293,2.5721561908721924,-0.6810635328292847,V14: 48.8012; V10: 12.8456; V12: 12.7016,8
"Before: capped AE, all 29 inputs",248296,153875.0,0.0,1.7330784797668457,0,4.68432092666626,2.5721561908721924,-0.8390777111053467,V14: 37.6468; V17: 19.4541; V12: 18.8808,7
"Before: capped AE, all 29 inputs",248971,154181.0,0.76,1.6080563068389893,0,2.445704221725464,2.5721561908721924,-0.9640998840332031,V14: 15.9699; V17: 8.6850; V10: 8.4329,5
"Before: capped AE, all 29 inputs",249167,154278.0,1504.93,2.200589656829834,0,7.201521873474121,2.5721561908721924,-0.3715665340423584,V14: 56.2540; V10: 27.4057; V12: 25.9369,8
