feature,normal_fit_vs_test_KS,fit_median,test_median
V3,0.5348200936650256,0.753586805569769,-0.7195607376124284
V1,0.4209622367170769,-0.2577747058022885,0.09753695650363915
V28,0.3571215613666796,0.0235563468538081,-0.0278838501053099
V25,0.32104588302818565,0.16761197923946752,-0.216558248366163
V15,0.26628813557787134,0.336044025059894,-0.195897473578474
V5,0.25855984377719354,-0.3146658146039465,0.25126443775313045
V22,0.2041364096882461,-0.09416689740129486,0.1248452635697125
V11,0.2034352089230087,0.129291819896438,-0.3254373241642225
V23,0.19966266518485343,-0.045178698890023,0.050896523967356194
V4,0.19386462166455343,0.16343853045614198,-0.34797507127271654
V21,0.14944869964870966,-0.059344627563310604,0.00641799671999105
V20,0.14712302974295255,-0.02677151148267645,-0.1073416810991405
V7,0.13882773089157613,-0.06357347940356115,0.1553806976052235
V8,0.13676114332591993,0.07895199473226855,-0.026964402838853152
V6,0.13467691555475558,-0.17677412768572398,-0.426619819033767
V14,0.11068337599495079,0.0624370104786518,-0.0252519850927586
V17,0.10405103778161892,-0.0187156056212142,-0.16056511545330748
V18,0.09815319614353246,-0.0828186798516274,0.0843240976402665
V24,0.09318309368519784,0.0688180275745365,0.01701806623668535
V9,0.08955285653603245,-0.153144064677199,0.01038178188666535
V27,0.08503009311469606,0.0116755242025651,-0.0074576203594535
V26,0.0811027006492061,-0.06637853706880074,-0.01338492204622525
V12,0.07055850199167123,0.160823572335122,0.2115537681351565
V19,0.06505283558296598,-0.021369800401681502,0.0305809015354686
V10,0.05750737631850211,-0.0965504626284653,-0.0917314115267763
Amount,0.057221105671548034,3.2208738275308737,2.9468045654679647
V2,0.040921277460106875,0.09677573875323225,0.0534577351360832
V13,0.03389980998011333,-0.0196926184885938,-0.055752222767895196
V16,0.02313231307297542,0.07325624761320554,0.08992150817819661
